name,groupName,subGroupName,count,score,digital_assign,pct,lv.mod
Rotary kilns,Tools and Equipment,Miscellaneous or unclassified,9,269.60757808264276,0,0.0012668294777143582,NA
Rotary lasers,Tools and Equipment,Miscellaneous or unclassified,2,371.73609968119564,0,2.815176617143018e-4,NA
Rotary pumps,Tools and Equipment,Miscellaneous or unclassified,2,156.48469460262785,0,2.815176617143018e-4,NA
Rotary screw compressors,Tools and Equipment,Miscellaneous or unclassified,2,179.49972214351448,0,2.815176617143018e-4,NA
Rotary spreaders,Tools and Equipment,Miscellaneous or unclassified,2,456.37910241017,0,2.815176617143018e-4,NA
Rotary tools,Tools and Equipment,Miscellaneous or unclassified,4,295.3939563740592,0,5.630353234286036e-4,NA
Rototillers,Tools and Equipment,Miscellaneous or unclassified,10,388.03954742931,0,0.001407588308571509,NA
Rough terrain forklifts,Tools and Equipment,Miscellaneous or unclassified,8,299.9294616115423,0,0.0011260706468572072,NA
Route mapping software,Technologies,Route navigation software,1,109.724362507017,1,1.407588308571509e-4,Industrial Modelling and Geospatial Software skills
Route planning software,Technologies,Map creation software,1,87.91432092803804,1,1.407588308571509e-4,Workforce digital skills
Router software,Technologies,Switch or router software,1,NA,1,1.407588308571509e-4,Cybersecurity and System Infrastructure skills
Routers,Tools and Equipment,Information Technology and telecommunications,1124,50.025684412366694,1,0.1582129258834376,Cybersecurity and System Infrastructure skills
Routers (power tools),Tools and Equipment,Mechanical and plumbing,217,322.85971134465115,0,0.030544666296001746,NA
Routing machines,Tools and Equipment,Miscellaneous or unclassified,2,318.256841154769,0,2.815176617143018e-4,NA
Routing software,Technologies,Route navigation software,26,174.29051838561284,1,0.0036597296022859234,Workforce digital skills
Rowboats,Tools and Equipment,Miscellaneous or unclassified,1,266.66058333121885,0,1.407588308571509e-4,NA
Rowing machines,Tools and Equipment,Miscellaneous or unclassified,1,184.217623573378,0,1.407588308571509e-4,NA
RSI interactive data language IDL software,Technologies,Analytical or scientific software,1,85.03227916432415,1,1.407588308571509e-4,Software/Product Development skills
RTA Fleet Management,Technologies,Industrial control software,3,102.44999741468,1,4.2227649257145267e-4,Software/Product Development skills
Rubber mallets,Tools and Equipment,Miscellaneous or unclassified,1,200.53394485764326,0,1.407588308571509e-4,NA
Ruby,Technologies,Development environment software,654,145.63128603860477,1,0.09205627538057669,Software/Product Development skills
